,Autocorr,Crosscorr MZ,Crosscorr DZ,Crosscorr NT,Autocorr std,Crosscorr MZ std,Crosscorr DZ std,Crosscorr NT std
S_circular_insula_inf L,0.9671794015973365,0.9734046744960944,0.9455965714858159,0.9116843227272073,0.04674992345577197,0.02749283775281307,0.038491753571302,0.05813250718160209
S_circular_insula_inf R,0.9681648057158495,0.9737233214882669,0.9435893179172259,0.9085237150404682,0.048478204116449354,0.026217610736577485,0.046273910782406766,0.06441599227680248
S_circular_insula_sup L,0.9754345218057459,0.9743001036927205,0.9552777712400573,0.9335254032067862,0.034741462720801294,0.026761407795403494,0.03158719125843775,0.04326050343951451
S_circular_insula_sup R,0.9725127316781754,0.9775479289487425,0.952845924836116,0.9319121825892568,0.03833985316748723,0.018595564787862884,0.04145121564121112,0.04695191594646891
S_collat_transv_ant L,0.962491192791274,0.9628354517179948,0.9343893031848248,0.9028081804878603,0.06697286693579328,0.039160394499138204,0.048912100024903954,0.07562771340572595
S_collat_transv_ant R,0.9645982605504647,0.965082743995576,0.9495453281306978,0.9104907075517306,0.05377372277494621,0.022245923139660187,0.032812819885020814,0.06648400627200782
S_collat_transv_post L,0.9430537773504747,0.9599281970886505,0.8705546532314664,0.839886845066105,0.08716581129720176,0.03914465611797639,0.08239870797855764,0.11468675790125506
S_collat_transv_post R,0.9334282771404425,0.9562619900480389,0.8588310379749303,0.8328658093356146,0.10160613046588195,0.04079528649121953,0.09955289177851587,0.1132948747757621
S_front_inf L,0.9746347184727233,0.9743826692290282,0.9403250694264275,0.9297262793554562,0.039422696181529736,0.03308078388937499,0.06485166723099312,0.05233471073828928
S_front_inf R,0.9746871683153667,0.9755349867544405,0.955090686163519,0.93230347537484,0.04199111063900308,0.025937346347136375,0.051882824980593045,0.052349536786203785
S_front_middle L,0.9790380784442619,0.9754177134376355,0.9437993467878042,0.9424275308071376,0.02846706249554833,0.027665759999665935,0.05454308629189691,0.04431731766612558
S_front_middle R,0.9793988812247796,0.9789921728342048,0.9516024021097729,0.9428753162942315,0.03295475813529961,0.018673746426978687,0.05670533610176867,0.04582276063874263
S_front_sup L,0.9725669023035602,0.9724534134910615,0.9502261973570973,0.9253489236687534,0.03870362601504213,0.030367681029271117,0.04911034110281216,0.05067239809184462
S_front_sup R,0.973368250499683,0.9756839019145461,0.9403185829931263,0.9300982139241735,0.03893715343616876,0.032738044717960484,0.0552149248916835,0.04637664038501504
S_interm_prim-Jensen L,0.9241646020500649,0.9330643323776323,0.8819418127992199,0.8172991671842564,0.1130760513932303,0.09660952316724353,0.07208555004898691,0.11712551293411826
S_interm_prim-Jensen R,0.929799877932892,0.9534844718883798,0.8819131515152314,0.8454299887152107,0.11298767515995355,0.05576098436166393,0.09980509566233106,0.1014436728375708
S_intrapariet_and_P_trans L,0.9318956562120284,0.9408332880766865,0.9022186343760565,0.8391304467154259,0.10290256798749454,0.06087775997727719,0.04730239803742566,0.10632536127320105
S_intrapariet_and_P_trans R,0.9435600643515083,0.9558918473259463,0.910744997489892,0.8440403269933816,0.07989696552621793,0.05142640180735885,0.05223342718119289,0.0955293838588159
S_oc-temp_lat L,0.9514580558246233,0.9675033358201633,0.9100772620838613,0.8694698283513373,0.07538875298235419,0.02756330659858486,0.05036024174189148,0.09206885106108481
